"Instituto","Data","Data divulgação","Registro","Lula","Bolsonaro","Ciro","Tebet","Outros","BNI","VV13","VV17"
"Datafolha",2022-09-22,2022-09-22,"BR-04180/2022",47,33,7,5,2,6,0.5,0.351063829787234
"Opinião",2022-09-20,2022-09-21,"BR-09430/2022",45,33,7,5,2,8,0.489130434782609,0.358695652173913
"PoderData",2022-09-20,2022-09-21,"BR-00407/2022",44,37,7,4,3,5,0.463157894736842,0.389473684210526
"Quaest",2022-09-20,2022-09-21,"BR-04459/2022",44,34,6,5,2,10,0.483516483516484,0.373626373626374
"Atlas",2022-09-20,2022-09-20,"BR-01204/2022",48,39,6,4,2,1,0.484848484848485,0.393939393939394
"Paraná Pesquisas",2022-09-19,2022-09-20,"BR-09417/2022",40,36,7,5,2,10,0.444444444444444,0.4
"FSB",2022-09-18,2022-09-19,"BR-07560/2022",44,35,7,5,1,7,0.478260869565217,0.380434782608696
"Ipec",2022-09-19,2022-09-19,"BR-00073/2022",47,31,7,5,1,9,0.516483516483517,0.340659340659341
"Ipespe",2022-09-16,2022-09-17,"BR-08883/2022",45,35,7,5,2,5,0.478723404255319,0.372340425531915
"MDA",2022-09-14,2022-09-16,"BR-06984/2022",43,35,6,5,1,10,0.477777777777778,0.388888888888889
"Brasmarket",2022-09-14,2022-09-15,"BR-01527/2022",31,44,8,5,1,12,0.348314606741573,0.49438202247191
"Datafolha",2022-09-15,2022-09-15,"BR-04099/2022",45,33,8,5,2,6,0.483870967741935,0.354838709677419
"Futura",2022-09-14,2022-09-15,"BR-00745/2022",42,39,4,3,1,12,0.471910112359551,0.438202247191011
"PoderData",2022-09-13,2022-09-14,"BR-02955/2022",43,37,8,5,2,5,0.452631578947368,0.389473684210526
"Quaest",2022-09-13,2022-09-14,"BR-03420/2022",42,34,7,4,2,11,0.471910112359551,0.382022471910112
"Paraná Pesquisas",2022-09-12,2022-09-13,"BR-05388/2022",40,37,7,5,1,10,0.444444444444444,0.411111111111111
"FSB",2022-09-12,2022-09-12,"BR-06321/2022",41,35,9,7,2,6,0.436170212765957,0.372340425531915
"Ipec",2022-09-12,2022-09-12,"BR-01390/2022",46,31,7,4,2,10,0.511111111111111,0.344444444444444
"Ipespe",2022-09-10,2022-09-10,"BR-07606/2022",44,36,8,5,2,5,0.463157894736842,0.378947368421053
"Datafolha",2022-09-09,2022-09-09,"BR-07422/2022",45,34,7,5,2,7,0.483870967741935,0.365591397849462
"Futura",2022-09-08,2022-09-08,"BR-02618/2022",36,42,8,5,2,7,0.387096774193548,0.451612903225806
"PoderData",2022-09-06,2022-09-07,"BR-03760/2022",43,37,8,5,2,5,0.452631578947368,0.389473684210526
"Quaest",2022-09-04,2022-09-07,"BR-00807/2022",44,34,7,4,2,9,0.483516483516484,0.373626373626374
"Paraná Pesquisas",2022-09-05,2022-09-06,"BR-09446/2022",40,36,7,4,3,10,0.444444444444444,0.4
"FSB",2022-09-04,2022-09-05,"BR-01786/2022",42,34,8,6,3,7,0.451612903225806,0.365591397849462
"Ipec",2022-09-05,2022-09-05,"BR-00922/2022",44,31,8,4,2,11,0.49438202247191,0.348314606741573
"Gerp",2022-09-01,2022-09-04,"BR-09102/2022",38,39,11,6,1,5,0.4,0.410526315789474
"Ipespe",2022-09-01,2022-09-03,"BR-09344/2022",44,35,9,5,2,5,0.463157894736842,0.368421052631579
"Datafolha",2022-09-01,2022-09-01,"BR-00433/2022",45,32,9,5,3,6,0.478723404255319,0.340425531914894
"Futura",2022-08-25,2022-08-31,"BR-07568/2022",37,40,10,2,2,9,0.406593406593407,0.43956043956044
"Ipespe",2022-08-29,2022-08-31,"BR-04347/2022",43,35,9,5,2,6,0.457446808510638,0.372340425531915
"Paraná Pesquisas",2022-08-30,2022-08-31,"BR-03492/2022",41,37,8,2,2,10,0.455555555555556,0.411111111111111
"PoderData",2022-08-30,2022-08-31,"BR-06922/2022",44,36,8,4,3,5,0.463157894736842,0.378947368421053
